BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
–,–,–,–,–,–,1,1,9,18,19,37,54,98,68,95,96
–,–,–,–,–,–,–,–,6,14,82,203,267,308,321,322,325
–,–,–,–,–,–,13,265,1.135,3.632,9.762,17.851,25.587,32.655,37.845,40.571,42.627
–,–,–,–,–,–,1,3,13,85,241,555,828,1.207,1.386,1.511,1.642
–,–,–,–,–,–,19,169,1.077,1.926,3.845,5.640,6.415,7.068,7.505,7.809,8.099
–,–,–,–,–,–,10,112,959,3.024,8.291,11.983,13.937,14.710,15.189,15.597,15.787
–,–,–,–,–,–,–,11,150,536,1.638,4.102,6.674,9.287,11.617,13.693,15.996
–,–,–,–,–,–,–,30,245,1.280,5.170,11.278,16.585,20.206,23.864,25.282,27.581
–,–,–,–,–,–,3,15,158,367,1.452,3.864,6.300,8.746,11.036,13.163,15.362
–,–,2,2,2,2,2,7,63,306,1.534,5.389,18.328,42.853,87.147,145.268,221.344
–,–,–,–,–,–,1,37,92,151,228,266,356,461,538,582,637
–,–,1,1,1,1,14,203,992,1.746,3.447,6.830,10.483,14.385,18.640,22.317,26.322
–,–,–,–,–,–,24,332,2.200,6.077,13.152,21.065,25.220,27.658,28.978,29.822,30.222
–,–,–,–,–,–,–,1,41,173,659,1.908,3.630,6.318,8.042,9.464,10.114
–,–,–,–,–,–,–,5,61,178,295,485,742,1.161,1.379,1.408,1.457
–,–,–,–,–,–,–,16,219,381,691,997,1.205,1.330,1.407,1.439,1.457
–,–,1,2,2,2,45,589,7.753,24.926,72.248,130.759,166.019,195.944,207.634,217.466,224.390
–,–,–,–,–,–,3,32,298,995,2.663,4.587,5.991,6.787,7.404,7.781,8.123
–,–,–,–,–,–,–,1,3,47,418,1.319,3.102,5.710,9.009,12.331,15.648
–,–,–,–,–,–,–,9,39,131,408,744,1.458,1.984,2.583,3.035,3.284
–,–,–,–,–,–,–,1,1,1,4,7,8,8,9,11,12
–,–,2,4,9,9,36,277,1.395,5.018,17.093,47.810,84.283,120.071,152.844,186.603,219.187
–,–,–,–,–,–,1,6,36,76,94,562,2.578,4.779,10.463,17.489,23.906
–,–,–,–,–,–,–,–,21,84,179,446,633,767,817,872,898
,,,,,,,,,,,,,,,,
–,–,–,–,1,1,2,55,126,285,576,1.173,2.065,3.144,4.534,6.465,9.400
–,–,–,–,–,–,–,–,–,2,2,14,19,19,26,35,45
–,–,–,–,–,–,–,–,1,6,6,16,18,79,258,315,439
–,–,–,–,–,–,–,–,1,9,16,43,71,108,123,135,239
–,–,–,–,–,–,1,20,49,94,409,1.251,1.914,2.629,3.382,4.474,5.723
–,–,–,–,–,–,–,–,–,2,6,22,35,37,64,90,319
–,–,–,–,–,–,–,–,–,–,–,–,13,20,22,23,23
–,–,–,–,–,–,–,–,3,72,146,302,443,565,632,662,751
–,–,–,–,–,–,–,–,–,–,–,–,5,6,15,19,19
–,–,–,–,–,–,–,–,–,–,–,59,215,846,1.023,1.112,1.210
–,–,–,–,–,–,–,–,3,9,140,245,533,847,1.150,1.398,1.700
–,–,–,–,–,–,–,–,–,1,6,29,34,39,39,39,39
–,–,–,–,–,–,–,–,–,1,9,9,14,22,59,112,172
–,–,–,–,–,–,–,–,1,3,7,21,57,109,176,335,661
–,–,–,–,–,–,–,–,–,1,3,4,9,9,10,17,20
–,–,–,–,–,–,–,–,6,19,137,205,566,1.042,1.550,2.169,4.263
–,–,–,–,–,–,–,–,–,2,8,111,250,477,1.094,1.650,2.146
–,–,–,–,–,–,–,–,–,–,–,–,39,50,53,292,642
–,–,–,–,–,–,–,2,3,27,91,555,803,1.016,1.621,2.077,2.579
–,–,–,–,–,–,–,–,–,3,5,5,7,55,106,165,246
–,–,–,–,–,–,–,–,1,7,25,142,197,270,355,466,672
–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,11
–,–,–,–,–,–,–,–,2,23,68,161,235,332,459,682,1.024
–,–,–,–,–,–,–,–,1,4,19,45,70,143,200,229,287
–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
–,–,–,–,–,–,–,–,–,3,3,13,50,91,124,158,204
–,–,–,–,–,–,–,–,–,1,18,25,50,51,61,63,64
–,–,–,–,–,–,–,–,–,3,26,77,106,121,128,151,169
–,–,–,–,–,–,–,–,–,–,–,–,13,17,34,39,56
–,–,–,–,–,–,–,–,–,–,–,–,87,224,389,563,704
–,–,–,–,–,–,–,2,28,86,437,1.113,1.661,2.855,4.065,4.903,6.063
–,–,–,–,–,–,–,–,1,2,5,6,7,7,7,8,8
–,–,–,–,–,–,–,–,–,12,102,227,324,328,332,332,332
–,–,–,–,–,–,–,–,1,11,50,147,207,284,401,650,1.023
–,–,–,–,–,–,–,–,–,–,8,10,20,35,76,80,91
–,–,–,–,–,–,–,–,2,3,8,16,16,16,16,16,16
–,–,–,–,–,–,–,–,–,1,10,144,529,648,696,750,821
–,–,–,–,–,–,1,2,2,22,65,208,323,541,1.273,2.388,4.399
–,–,–,–,–,–,–,–,9,47,143,344,379,408,417,423,436
–,–,–,–,–,–,–,–,5,17,60,102,126,147,191,259,284
–,–,–,–,–,–,–,–,–,2,16,39,43,61,88,124,267
–,–,–,–,–,–,–,–,–,–,–,–,4,4,8,23,165
–,–,–,–,–,–,–,4,26,56,119,222,280,367,671,1.273,1.709
–,–,–,–,–,–,–,–,2,7,7,10,11,11,11,11,11
–,–,–,–,–,–,–,–,–,–,–,–,10,35,93,157,307
–,–,–,–,–,–,–,–,–,2,5,9,14,25,31,34,36
–,–,–,–,–,–,–,–,–,1,3,7,25,164,436,722,1.054
–,–,–,–,–,–,–,3,51,240,1.187,1.655,2.173,3.158,4.546,6.783,10.015
–,–,–,–,–,–,–,–,1,2,5,12,19,92,237,592,1.365
–,–,–,–,–,–,–,–,–,–,–,1,4,4,6,46,156
–,–,–,–,–,–,–,–,–,6,14,22,32,171,300,480,509
–,–,–,–,–,–,–,1,1,15,28,44,76,83,98,124,173
–,–,–,–,–,–,–,–,–,1,5,9,18,33,46,117,322
–,–,–,–,–,–,–,2,18,60,278,574,707,866,949,1.009,1.032
–,–,–,–,–,–,–,–,–,1,14,48,54,55,75,88,121
–,–,–,–,–,–,–,–,1,3,6,9,11,12,19,72,179
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,80,361,909,1.771,2.594,2.914,3.122,3.218,3.274,3.314,3.340,3.351,4.636,4.637,4.637,4.637
–,–,–,–,1,1,6,7,24,41,56,73,102,171,351,510,621
–,–,–,–,–,3,6,7,7,7,7,7,7,7,13,13,13
–,–,–,–,–,7,22,51,75,111,126,186,217,236,243,252,256
–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
–,–,–,–,1,1,1,1,1,2,5,5,6,6,6,6,6
,,,,,,,,,,,,,,,,
–,–,–,–,–,–,–,–,–,1,4,7,19,33,50,72,120
–,–,–,–,–,–,–,–,–,2,5,8,34,91,145,177,228
–,–,–,–,–,–,–,–,2,7,29,109,308,543,872,1.373,2.206
–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1,3
–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
–,–,–,–,–,–,–,–,–,5,25,50,93,176,281,457,667
–,–,–,–,–,–,–,–,–,–,–,5,7,7,7,7,9
,,,,,,,,,,,,,,,,
–,–,–,–,–,–,–,–,–,–,–,1,1,1,1,1,1
–,–,–,–,–,–,–,–,5,48,122,198,373,582,743,845,973
–,–,–,–,–,–,–,–,–,–,–,–,1,0,0,0,0
–,–,–,–,–,–,–,–,–,–,–,61,76,89,98,105,108
–,–,–,–,–,–,–,–,–,–,–,1,4,5,5,6,6
–,–,1,1,1,1,1,1,12,25,78,152,297,409,501,607,719
–,–,–,–,–,–,–,–,–,–,–,6,8,11,12,18,20
–,–,–,–,–,–,1,1,1,1,9,23,40,47,52,54,56
,,,,,,,,,,,,,,,,
–,–,–,–,–,–,–,–,–,–,–,5,12,17,25,27,31
–,–,–,–,–,–,–,–,–,–,–,4,5,7,8,10,12
–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,20
–,–,–,–,–,–,–,–,–,–,–,2,4,5,8,10,10
,,,,,,,,,,,,,,,,
–,–,–,–,–,–,–,–,–,–,–,4,14,20,29,39,45
–,–,–,–,–,–,–,–,–,1,4,5,11,19,21,25,32
–,–,–,–,–,–,–,–,1,2,4,4,6,7,8,8,8
–,–,–,–,–,–,–,–,–,–,–,2,3,4,6,9,10
–,–,–,–,–,8,54,194,853,1.685,2.757,3.603,4.474,5.118,5.710,6.203,6.640
–,–,–,–,–,–,–,6,9,20,46,61,76,82,87,95,109
–,–,–,–,–,–,–,–,–,1,17,46,103,171,199,227,254
–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2,9
–,–,–,–,–,–,–,–,–,–,–,5,7,7,7,9,9
–,–,–,–,–,–,–,–,3,4,11,18,20,21,24,25,26
–,–,–,–,–,–,–,–,–,–,–,4,7,8,10,12,14
–,–,–,–,–,–,–,–,–,–,–,1,1,7,20,38,58
–,–,–,–,–,–,–,–,–,–,–,2,4,7,10,12,17
–,–,–,–,–,–,–,–,–,–,1,1,2,2,2,2,4
–,–,–,–,–,–,–,–,–,–,8,34,59,97,139,184,246
–,–,–,–,–,–,–,–,–,–,–,2,2,3,3,3,3
–,–,–,–,–,–,–,–,–,30,168,574,1.198,2.017,2.805,3.397,3.786
–,–,–,–,–,–,–,–,–,2,5,10,22,41,76,126,198
,,,,,,,,,,,,,,,,
–,–,–,–,–,–,1,3,5,7,18,36,61,70,83,95,97
–,–,–,–,–,–,–,–,–,1,4,5,5,5,5,5,5
–,–,–,–,–,–,–,–,–,–,–,1,5,12,19,20,21
–,–,–,–,–,–,–,–,–,–,–,–,2,2,2,2,2
,,,,,,,,,,,,,,,,
–,–,–,–,–,–,–,–,–,–,–,–,1,3,3,4,4
–,–,–,–,–,–,–,1,2,4,20,44,82,132,179,241,300
–,–,–,–,–,–,–,–,–,–,–,–,–,2,2,2,3
–,–,–,–,–,–,–,–,–,–,–,–,2,3,3,3,3
–,–,–,–,–,–,–,–,–,–,–,4,8,9,11,11,11
–,–,–,–,–,–,–,–,–,–,–,–,4,5,6,7,7
–,–,–,–,–,–,–,–,–,–,–,–,2,2,2,2,2
–,–,–,–,–,–,–,–,–,–,–,*,4,5,5,7,7
–,–,–,–,–,–,–,–,–,–,–,10,24,32,46,71,114
–,–,–,–,–,–,–,–,–,–,–,432,1.124,2.347,4.016,6.750,10.627
–,–,–,–,–,–,–,–,–,–,–,–,–,1,1,1,1
–,–,–,–,–,–,–,–,–,1,1,1,1,1,1,1,1
–,–,–,–,–,–,–,–,–,1,8,34,80,133,189,260,312
–,–,–,–,–,–,–,–,–,–,–,2,3,4,6,6,6
–,–,–,–,–,–,–,–,–,1,1,1,1,1,1,1,1
–,–,–,–,–,–,–,–,–,2,42,68,173,226,278,333,388
–,–,–,–,–,–,–,–,2,7,60,172,333,474,576,1.564,2.127
–,–,–,–,–,–,–,–,–,–,–,3,6,7,8,11,17
–,–,–,–,–,–,–,–,–,–,–,–,–,–,1,1,1
–,–,–,–,–,–,–,–,–,–,–,7,8,11,13,12,13
–,–,–,–,–,–,–,–,–,1,1,3,3,7,15,19,24
–,–,–,–,–,–,–,–,–,1,1,4,6,7,8,9,10
–,–,–,,–,–,–,–,–,–,–,–,2,3,6,8,12
–,–,–,–,–,–,–,–,–,–,–,22,25,46,59,76,108
–,–,–,–,–,–,–,–,–,1,1,3,4,5,7,8,9
–,–,–,–,–,–,–,–,1,19,66,231,674,1.506,2.489,3.681,4.728
–,–,–,–,–,–,–,–,–,2,10,32,100,166,233,324,445
–,–,–,–,–,–,–,–,–,1,4,8,18,34,54,67,77
–,–,–,–,–,–,–,–,–,–,2,3,6,12,14,14,14
–,–,–,–,–,–,–,–,–,2,20,79,273,650,1.305,2.061,3.353
–,–,–,–,–,–,–,–,–,–,–,–,–,1,1,1,1
–,–,–,–,–,–,–,–,–,–,–,1,1,1,3,4,5
–,–,–,–,–,–,–,–,1,3,3,46,79,120,159,197,237
–,–,–,–,–,–,–,–,–,1,6,6,6,8,9,10,10
–,–,–,–,–,–,–,–,–,–,–,73,181,348,700,1.200,1.814
–,–,–,–,–,–,–,–,–,1,3,18,44,62[!],53,97,111
–,–,–,–,–,–,–,–,–,–,–,2,2,2,3,3,3
–,–,–,–,–,–,–,–,–,–,–,2,9,9,13,13,15
–,–,–,–,–,–,–,–,–,–,–,–,1,1,1,1,1
–,–,–,–,–,–,–,–,–,–,–,6,6,8,8,8,8
–,–,–,–,–,–,–,–,–,–,–,–,1,1,1,1,1
–,–,–,–,–,–,–,–,–,–,–,5,7,9,14,17,17
–,–,–,–,–,–,–,–,–,–,–,3,9,9,10,10,10
–,–,–,–,–,–,2,19,41,402,2.398,8.358,20.444,34.203,47.980,60.710,76.916
,,,,,,,,,,,,,,,,
–,–,–,–,–,–,–,–,–,2,11,21,23,26,28,31,31
–,–,–,–,–,–,–,–,–,–,8,17,29,36,40,45,48
–,–,–,–,–,–,–,–,5,75,431,1.447,3.600,5.683,7.094,7.844,8.656
–,–,–,–,–,–,–,–,–,1,9,21,38,46,58,76,103
–,–,–,–,–,–,–,–,2,3,8,20,29,43,56,73,91
–,–,–,–,–,–,–,–,4,13,77,179,273,355,422,484,529
–,–,–,–,–,–,–,2,12,94,583,1.434,2.799,4.404,5.750,6.692,7.417
–,–,–,–,–,–,–,–,–,–,3,15,25,40,49,55,60
–,–,–,–,–,–,–,–,–,1,13,28,56,94,190,230,267
–,–,–,–,1,1,2,19,127,674,3.017,8.064,14.374,19.689,22.821,24.859,26.338
–,–,–,–,–,–,–,–,–,–,–,1,0,0,0,0,0
–,–,–,–,–,–,–,–,4,15,43,73,98,110,130,144,151
–,–,–,–,–,–,–,–,–,–,–,3,6,9,12,13,25
–,–,–,–,–,2,35,366,1.809,5.476,11.591,15.889,19.901,23.660,26.644,28.884,30.560
–,–,–,–,–,–,–,–,2,4,54,158,334,610,1.087,1.303,1.458
–,–,–,–,–,–,–,–,–,1,2,4,8,9,10,10,10
–,–,–,–,–,–,–,–,–,–,–,1,1,4,18,23,23
–,–,–,–,–,–,–,–,–,–,–,3,4,12,19,24,25
–,–,–,–,–,–,–,–,–,1,1,1,7,12,21,27,28
–,–,–,–,–,–,–,–,–,–,6,15,23,47,55,79,90
–,–,–,–,–,–,–,–,–,–,–,1,5,5,12,16,18
–,–,–,–,–,–,–,–,–,–,–,1,1,1,1,1,1
–,–,–,–,–,–,–,–,–,1,7,13,24,36,41,46,50
–,–,–,–,–,–,–,–,1,8,22,36,66,73,88,96,101
–,–,–,–,–,–,–,–,–,–,–,–,3,3,4,4,5
–,–,–,–,–,–,–,–,–,1,2,15,33,67,96,128,171
–,–,–,–,–,–,–,–,–,–,–,–,–,1,1,1,1
–,–,–,–,–,–,–,–,–,–,1,2,2,5,7,8,8
–,–,–,–,–,–,–,1,20,179,864,1.766,2.737,3.684,4.475,5.056,5.440
–,–,–,–,–,–,–,–,–,1,7,18,34,51,61,84,91
–,–,–,–,–,–,–,–,1,7,26,58,103,154,193,208,217
–,–,–,–,–,–,–,–,1,16,108,204,350,452,542,598,618
–,–,–,–,–,–,–,–,3,7,31,94,232,360,535,678,800
–,–,–,–,–,–,–,–,–,–,–,295,504,714,903,1.043,1.135
–,–,–,–,–,–,–,–,–,2,44,148,306,434,608,780,952
–,–,–,–,–,–,–,–,–,–,9,45,148,361,794,1.356,2.009
–,–,–,–,–,–,–,1,5,20,25,32,35,39,41,41,41
–,–,–,–,–,–,–,–,3,21,146,401,899,1.540,2.194,2.679,3.225
–,–,–,–,–,–,–,2,13,60,295,715,858,1.134,1.336,1.472,1.537
–,–,–,–,–,–,–,–,–,–,13,51,80,122,156,193,215
–,–,–,–,–,–,–,–,–,–,–,–,2,12,18,24,26
–,–,–,–,–,–,–,–,–,–,–,28,53,74,82,96,102
