KrS,Landkreis/Kreis,UZ,BL,Kreissitz,Einw.,Fl.in km²,Bev.D.Ew./km²,Karte
15084,Burgenlandkreis,"BLK, HHM, NEB, NMB, WSF, ZZ",ST,Naumburg (Saale),178.846,"1.413,67",127,
08235,Calw,CW,BW,Calw,159.201,"797,53",200,
03351,Celle,CE,NI,Celle,179.011,"1.545,21",116,
09372,Cham,"CHA, KÖZ, ROD, WÜM",BY,Cham,127.998,"1.520,17",84,
03453,Cloppenburg,CLP,NI,Cloppenburg,170.682,"1.418,45",120,
09473,Coburg,"CO, NEC",BY,Coburg[FN 2],86.747,"590,47",147,
07135,Cochem-Zell,"COC, ZEL",RP,Cochem,61.375,"692,33",89,
05558,Coesfeld,"COE, LH",NW,Coesfeld,220.586,"1.112,04",198,
03352,Cuxhaven,CUX,NI,Cuxhaven,198.038,"2.057,78",96,
09174,Dachau,DAH,BY,Dachau,154.899,"579,18",267,
12061,Dahme-Spreewald,"LDS, KW, LC, LN",BB,Lübben (Spreewald),170.791,"2.274,48",75,
06432,Darmstadt-Dieburg,"DA, DI",HE,Darmstadt[FN 2],297.844,"658,65",452,
09271,Deggendorf,DEG,BY,Deggendorf,119.478,"861,3",139,
03251,Diepholz,"DH, SY",NI,Diepholz,217.089,"1.988,14",109,
09773,Dillingen an der Donau,"DLG, WER",BY,Dillingen an der Donau,96.562,"792,22",122,
09279,Dingolfing-Landau,"DGF, LAN",BY,Dingolfing,96.683,"877,79",110,
01051,Dithmarschen,"HEI, MED",SH,Heide,133.193,"1.428,13",93,
09779,Donau-Ries,"DON, NÖ",BY,Donauwörth,133.783,"1.274,68",105,
07333,Donnersbergkreis,"KIB, ROK",RP,Kirchheimbolanden,75.325,"645,52",117,
05358,Düren,"DN, JÜL, MON, SLE",NW,Düren,264.638,"941,37",281,
09175,Ebersberg,EBE,BY,Ebersberg,143.649,"549,36",261,
16061,Eichsfeld,"EIC, HIG, WBS",TH,Heilbad Heiligenstadt,100.006,"943,07",106,
09176,Eichstätt,EI,BY,Eichstätt,132.881,"1.214,06",109,
07232,Eifelkreis Bitburg-Prüm,"BIT, PRÜ",RP,Bitburg,99.058,"1.626,22",61,
12062,Elbe-Elster,"EE, FI, LIB",BB,Herzberg (Elster),101.827,"1.899,54",54,
08316,Emmendingen,EM,BW,Emmendingen,165.383,"679,9",243,
03454,Emsland,EL,NI,Meppen,326.954,"2.882,07",113,
05954,Ennepe-Ruhr-Kreis,"EN, WIT",NW,Schwelm,324.106,"409,64",791,
08236,Enzkreis,PF,BW,Pforzheim[FN 2],199.556,"573,68",348,
09177,Erding,ED,BY,Erding,138.182,"870,72",159,
09572,Erlangen-Höchstadt,"ERH, HÖS",BY,Erlangen[FN 2],137.262,"564,66",243,
14521,Erzgebirgskreis,"ERZ, ANA, ASZ, AU, MAB, MEK, STL, SZB, ZP",SN,Annaberg-Buchholz,334.948,"1.827,91",183,
08116,Esslingen,"ES, NT",BW,Esslingen am Neckar,535.024,"641,46",834,
05366,Euskirchen,"EU, SLE",NW,Euskirchen,193.656,"1.248,73",155,
09474,Forchheim,"FO, EBS, PEG",BY,Forchheim,116.203,"642,79",181,
09178,Freising,FS,BY,Freising,180.007,"799,83",225,
08237,Freudenstadt,"FDS, HCH, HOR, WOL",BW,Freudenstadt,118.243,"870,67",136,
09272,Freyung-Grafenau,"FRG, GRA, WOS",BY,Freyung,78.362,"984,15",80,
03455,Friesland,FRI,NI,Jever,98.704,"607,91",162,
06631,Fulda,FD,HE,Fulda,223.145,"1.380,4",162,
09179,Fürstenfeldbruck,FFB,BY,Fürstenfeldbruck,219.311,"434,79",504,
09573,Fürth,FÜ,BY,Zirndorf,117.853,"307,55",383,
09180,Garmisch-Partenkirchen,GAP,BY,Garmisch-Partenkirchen,88.424,"1.012,22",87,
07334,Germersheim,GER,RP,Germersheim,129.013,"463,35",278,
06531,Gießen,GI,HE,Gießen,270.688,"854,67",317,
03151,Gifhorn,GF,NI,Gifhorn,176.523,"1.562,86",113,
08117,Göppingen,GP,BW,Göppingen,258.145,"642,36",402,
14626,Görlitz,"GR, LÖB, NOL, NY, WSW, ZI",SN,Görlitz,252.725,"2.111,41",120,
03153,Goslar,"GS, BRL, CLZ",NI,Goslar,136.292,"965,29",141,
16067,Gotha,GTH,TH,Gotha,134.908,"936,08",144,
03159,Göttingen,"GÖ, DUD, HMÜ, OHA",NI,Göttingen,326.041,"1.753,41",186,
03456,Grafschaft Bentheim,NOH,NI,Nordhorn,137.162,"980,87",140,
16076,Greiz,"GRZ, ZR",TH,Greiz,97.398,"845,98",115,
06433,Groß-Gerau,GG,HE,Groß-Gerau,275.726,"453,04",609,
09774,Günzburg,"GZ, KRU",BY,Günzburg,127.027,"762,44",167,
05754,Gütersloh,GT,NW,Gütersloh,364.938,"969,21",377,
03252,Hameln-Pyrmont,HM,NI,Hameln,148.549,"796,15",187,
03241,"Hannover, Region[FN 1]",H,NI,Hannover,1.157.115,"2.290,86",505,
03353,Harburg,WL,NI,Winsen (Luhe),254.431,"1.245,03",204,
15085,Harz,"HZ, HBS, QLB, WR",ST,Halberstadt,213.310,"2.104,54",101,
09674,Haßberge,"HAS, EBN, GEO, HOH",BY,Haßfurt,84.384,"956,38",88,
12063,Havelland,"HVL, NAU, RN",BB,Rathenow,162.996,"1.727,3",94,
03358,Heidekreis,HK,NI,Bad Fallingbostel,140.673,"1.873,72",75,
08135,Heidenheim,HDH,BW,Heidenheim an der Brenz,132.777,"627,14",212,
08125,Heilbronn,HN,BW,Heilbronn[FN 2],344.456,"1.099,9",313,
05370,Heinsberg,"HS, ERK, GK",NW,Heinsberg,255.555,"627,99",407,
03154,Helmstedt,HE,NI,Helmstedt,91.297,"674,02",135,
05758,Herford,HF,NW,Herford,250.578,"450,41",556,
06632,Hersfeld-Rotenburg,"HEF, ROF",HE,Bad Hersfeld,120.719,"1.097,12",110,
