Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
Aquatorialguinea,–,–,–,–,–,,–,–,1,6,6,16,18,79,258,315,439
athiopien,–,–,–,–,–,,–,–,1,9,16,43,71,108,123,135,239
Algerien,–,–,–,–,–,,1,20,49,94,409,1.251,1.914,2.629,3.382,4.474,5.723
Benin,–,–,–,–,–,,–,–,–,2,6,22,35,37,64,90,319
Botswana,–,–,–,–,–,,–,–,–,–,–,–,13,20,22,23,23
BurkinaFaso,–,–,–,–,–,,–,–,3,72,146,302,443,565,632,662,751
Burundi,–,–,–,–,–,,–,–,–,–,–,–,5,6,15,19,19
Dschibuti,–,–,–,–,–,,–,–,–,–,–,59,215,846,1.023,1.112,1.210
Elfenbeinkste,–,–,–,–,–,,–,–,3,9,140,245,533,847,1.150,1.398,1.700
Eritrea,–,–,–,–,–,,–,–,–,1,6,29,34,39,39,39,39
Eswatini,–,–,–,–,–,,–,–,–,1,9,9,14,22,59,112,172
Gabun,–,–,–,–,–,,–,–,1,3,7,21,57,109,176,335,661
Gambia,–,–,–,–,–,,–,–,–,1,3,4,9,9,10,17,20
Ghana,–,–,–,–,–,,–,–,6,19,137,205,566,1.042,1.550,2.169,4.263
Guinea,–,–,–,–,–,,–,–,–,2,8,111,250,477,1.094,1.650,2.146
GuineaBissau,–,–,–,–,–,,–,–,–,–,–,–,39,50,53,292,642
Kamerun,–,–,–,–,–,,–,2,3,27,91,555,803,1.016,1.621,2.077,2.579
KapVerde,–,–,–,–,–,,–,–,–,3,5,5,7,55,106,165,246
Kenia,–,–,–,–,–,,–,–,1,7,25,142,197,270,355,466,672
Komoren,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,3,11
KongoDR,–,–,–,–,–,,–,–,2,23,68,161,235,332,459,682,1.024
Kongorep,–,–,–,–,–,,–,–,1,4,19,45,70,143,200,229,287
Lesotho,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–
Liberia,–,–,–,–,–,,–,–,–,3,3,13,50,91,124,158,204
Libyen,–,–,–,–,–,,–,–,–,1,18,25,50,51,61,63,64
Madagaskar,–,–,–,–,–,,–,–,–,3,26,77,106,121,128,151,169
Malawi,–,–,–,–,–,,–,–,–,–,–,–,13,17,34,39,56
Mali,–,–,–,–,–,,–,–,–,–,–,–,87,224,389,563,704
Marokko,–,–,–,–,–,,–,2,28,86,437,1.113,1.661,2.855,4.065,4.903,6.063
Mauretanien,–,–,–,–,–,,–,–,1,2,5,6,7,7,7,8,8
Mauritius,–,–,–,–,–,,–,–,–,12,102,227,324,328,332,332,332
Mayotte,–,–,–,–,–,,–,–,1,11,50,147,207,284,401,650,1.023
Mosambik,–,–,–,–,–,,–,–,–,–,8,10,20,35,76,80,91
Namibia,–,–,–,–,–,,–,–,2,3,8,16,16,16,16,16,16
Niger,–,–,–,–,–,,–,–,–,1,10,144,529,648,696,750,821
Nigeria,–,–,–,–,–,,1,2,2,22,65,208,323,541,1.273,2.388,4.399
Runion,–,–,–,–,–,,–,–,9,47,143,344,379,408,417,423,436
Ruanda,–,–,–,–,–,,–,–,5,17,60,102,126,147,191,259,284
Sambia,–,–,–,–,–,,–,–,–,2,16,39,43,61,88,124,267
SoTomundPrncipe,–,–,–,–,–,,–,–,–,–,–,–,4,4,8,23,165
Senegal,–,–,–,–,–,,–,4,26,56,119,222,280,367,671,1.273,1.709
Seychellen,–,–,–,–,–,,–,–,2,7,7,10,11,11,11,11,11
SierraLeone,–,–,–,–,–,,–,–,–,–,–,–,10,35,93,157,307
Simbabwe,–,–,–,–,–,,–,–,–,2,5,9,14,25,31,34,36
Somalia,–,–,–,–,–,,–,–,–,1,3,7,25,164,436,722,1.054
